usable,main_class,middle_class,sub_class,cx,cy,min_x,min_y,max_x,max_y,x1,y1,x2,y2,x3,y3,x4,y4,arma3_class,id,width,height
T,Armored,APC,LAV-C2,820.0,291.0,784.0,240.0,852.0,331.0,813,239,855,258,822,331,781,313,cup_b_lav25_hq_desert_usmc,id_0,46.09772228646444,80.11242100947892
T,Armored,APC,MT-LB,512.0,829.0,475.0,794.0,543.0,867.0,475,812,498,793,543,848,520,867,cup_b_mtlb_pk_winter_cdf,id_2,29.8328677803526,71.06335201775947
T,Support,ASV,BRDM-2,1540.0,820.0,1508.0,808.0,1578.0,833.0,1508,807,1578,809,1577,833,1507,831,cup_o_brdm2_hq_rus,id_7,70.02856560004639,24.020824298928627
T,Support,ASV,BRDM-2,1370.0,870.0,1353.0,838.0,1392.0,904.0,1352,843,1376,837,1392,898,1367,905,cup_o_brdm2_rus,id_5,24.73863375370596,63.06346010171025
T,Support,ASV,BRDM-2,1040.0,610.0,1007.0,586.0,1074.0,632.0,1064,585,1073,608,1016,632,1006,610,cwr3_o_brdm2,id_11,24.698178070456937,61.84658438426491
T,Armored,APC,MT-LB,1288.0,243.0,1259.0,203.0,1321.0,277.0,1298,202,1321,217,1281,277,1258,262,cwr3_o_mtlb_mev,id_9,27.459060435491963,72.11102550927978
T,Armored,APC,MT-LB,1000.0,780.0,981.0,743.0,1018.0,817.0,981,746,1009,742,1019,812,991,816,cwr3_o_mtlb_repair,id_1,28.284271247461906,70.71067811865476
T,Armored,IFV,BMD-1,940.0,450.0,912.0,433.0,967.0,463.0,913,432,967,434,966,463,911,461,rhs_bmd1k,id_6,54.037024344425184,29.017236257093817
T,Armored,IFV,BMD-1,1470.0,760.0,1444.0,739.0,1503.0,781.0,1452,738,1503,754,1495,781,1444,765,rhs_bmd1r,id_3,53.45091205957107,28.16025568065745
T,Armored,IFV,BMD-2,1150.0,490.0,1116.0,458.0,1186.0,519.0,1170,457,1186,480,1132,519,1115,496,rhs_bmd2m,id_8,28.0178514522438,66.61080993352356
